shardID,t,queueSize
11,0,6
3,2.8848648071289062e-05,137
13,0.0005197525024414062,161
0,7.033348083496094e-05,217
12,0.00044226646423339844,141
2,0.00022530555725097656,28
10,0.00030040740966796875,140
7,0.0006668567657470703,194
8,0.00036263465881347656,51
1,0.00043964385986328125,254
6,0.0009634494781494141,197
14,0.0007965564727783203,172
4,0.0010802745819091797,242
5,0.0009860992431640625,256
9,0.0021142959594726562,524
15,0.0017445087432861328,280
2,1.0007660388946533,0
11,1.0008704662322998,0
3,1.001296043395996,189
8,1.0011191368103027,48
0,1.0015788078308105,195
7,1.0014057159423828,218
6,1.0011963844299316,286
14,1.0019793510437012,222
12,1.0017404556274414,197
1,1.0018210411071777,253
5,1.0021991729736328,421
10,1.0022125244140625,229
4,1.0023653507232666,473
13,1.0019490718841553,245
15,1.0030238628387451,533
9,1.0039069652557373,1020
11,2.0012993812561035,2
2,2.0013961791992188,20
8,2.0025839805603027,113
13,2.002850294113159,387
0,2.0030291080474854,414
7,2.002746105194092,406
6,2.002657651901245,464
1,2.0028674602508545,503
12,2.0027260780334473,341
5,2.0036404132843018,650
3,2.0031726360321045,366
15,2.003469944000244,748
4,2.003547191619873,860
10,2.0033769607543945,373
14,2.0026473999023438,428
9,2.005772352218628,1454
11,3.0019173622131348,4
8,3.002882719039917,81
2,3.002561330795288,19
12,3.00382399559021,393
1,3.0034515857696533,532
3,3.0039713382720947,421
14,3.003781318664551,607
13,3.004206657409668,487
7,3.003889799118042,414
0,3.00429368019104,388
10,3.004483461380005,419
6,3.0037248134613037,633
5,3.004777431488037,808
4,3.004594087600708,1021
15,3.0052003860473633,941
9,3.0071051120758057,1940
11,4.002774715423584,0
6,4.003999471664429,891
2,4.003416299819946,0
3,4.004782438278198,459
14,4.004575490951538,809
1,4.004167556762695,645
8,4.004255771636963,49
12,4.0053346157073975,399
13,4.005192518234253,509
10,4.0052337646484375,402
4,4.005692958831787,1139
7,4.006099462509155,500
5,4.0065178871154785,953
9,4.008369207382202,2320
15,4.015130043029785,1096
0,4.016529560089111,481
2,5.003775358200073,0
11,5.003787517547607,0
1,5.004562139511108,721
6,5.004833221435547,1042
8,5.005430221557617,5
10,5.005579710006714,517
13,5.0063111782073975,604
3,5.006340980529785,490
14,5.006369352340698,944
12,5.006152391433716,441
4,5.0066773891448975,1203
7,5.007363796234131,480
5,5.007914304733276,1055
9,5.009506702423096,2993
15,5.015952825546265,1269
0,5.017789363861084,470
11,6.0042243003845215,2
2,6.004575729370117,25
1,6.005640029907227,914
8,6.006303071975708,65
6,6.005612134933472,1240
10,6.006169319152832,665
12,6.007160425186157,578
3,6.007131814956665,660
14,6.0073652267456055,1198
5,6.008546352386475,1297
4,6.007955312728882,1419
9,6.010034799575806,3469
13,6.007373809814453,743
7,6.008627653121948,712
15,6.017286062240601,1573
0,6.0190818309783936,674
11,7.005153179168701,1
2,7.005836009979248,31
1,7.0063157081604,1025
6,7.006587028503418,1389
8,7.007053852081299,66
10,7.007535457611084,801
3,7.00841498374939,703
12,7.007983207702637,625
13,7.008716821670532,810
14,7.008892297744751,1313
4,7.00896143913269,1552
5,7.009148359298706,1433
7,7.010107040405273,714
9,7.011059045791626,3996
15,7.018356800079346,1733
0,7.020381212234497,651
11,8.00564193725586,0
2,8.006908178329468,29
6,8.00740671157837,1529
8,8.008141994476318,20
10,8.008658647537231,863
1,8.00723147392273,1063
4,8.009352922439575,1650
12,8.008820056915283,692
13,8.009443759918213,850
14,8.009413003921509,1401
5,8.010451316833496,1585
7,8.011234045028687,818
9,8.011783838272095,4427
15,8.019745826721191,1971
3,8.021368503570557,757
0,8.021484851837158,757
11,9.00752568244934,0
1,9.007658243179321,1188
6,9.00778317451477,1645
10,9.00877833366394,938
8,9.008814573287964,1
12,9.009747743606567,767
4,9.010160684585571,1745
5,9.010945558547974,1699
13,9.011088848114014,915
2,9.008060455322266,0
7,9.011691808700562,930
14,9.010816097259521,1508
9,9.01317024230957,4849
15,9.020461797714233,2147
0,9.022746562957764,858
3,9.023430347442627,771
11,10.008327960968018,4
8,10.009944677352905,84
4,10.010405778884888,1945
13,10.011788845062256,1095
5,10.012163162231445,1969
14,10.011967182159424,1698
12,10.01020336151123,963
9,10.013770580291748,5413
6,10.008579015731812,1880
1,10.009599208831787,1289
15,10.020832777023315,2525
0,10.02333927154541,914
3,10.024596691131592,907
10,10.010314226150513,1158
2,10.009207725524902,44
7,10.012938022613525,1073
11,11.00877046585083,0
6,11.009738683700562,1968
1,11.010465860366821,1471
10,11.011173725128174,1211
2,11.011140584945679,29
4,11.01174783706665,2125
12,11.01119589805603,1000
8,11.011892318725586,58
7,11.013072967529297,1156
5,11.013103723526001,2070
13,11.012907266616821,1161
14,11.014094352722168,1798
9,11.014902353286743,5777
15,11.021992683410645,2728
0,11.0240478515625,1026
3,11.02565884590149,952
6,12.010107517242432,2087
1,12.01085090637207,1487
12,12.011840581893921,1102
10,12.012486457824707,1323
2,12.012545347213745,0
8,12.012145042419434,17
4,12.012924432754517,2211
5,12.013718366622925,2289
7,12.013889074325562,1155
11,12.016000986099243,0
9,12.016549587249756,6266
14,12.020119667053223,1908
15,12.023036479949951,2997
0,12.025044679641724,997
13,12.025302648544312,1241
3,12.026742696762085,1002
6,13.011053800582886,2176
1,13.012390375137329,1647
2,13.012769937515259,0
12,13.012421131134033,1156
4,13.013437032699585,2348
10,13.013701915740967,1354
8,13.01371169090271,0
7,13.014382123947144,1289
5,13.01505708694458,2456
11,13.016925811767578,0
9,13.01730751991272,6588
14,13.020315408706665,2014
15,13.024395227432251,3204
0,13.026090860366821,1133
13,13.026300430297852,1261
3,13.027289867401123,1073
6,14.01276159286499,2392
1,14.013750076293945,1849
8,14.014504671096802,53
12,14.01370906829834,1366
7,14.014743566513062,1377
4,14.014480113983154,2550
10,14.014507055282593,1635
5,14.016414642333984,2679
9,14.018462419509888,7204
11,14.01905608177185,1
14,14.02146601676941,2229
15,14.026045799255371,3505
0,14.026952981948853,1192
13,14.026869773864746,1437
3,14.028559684753418,1207
2,14.014394998550415,25
1,15.014213562011719,1908
7,15.015352487564087,1507
6,15.014262676239014,2536
2,15.016100883483887,15
12,15.014063119888306,1430
10,15.015245914459229,1696
8,15.015085935592651,49
4,15.015268564224243,2677
5,15.017385482788086,2856
9,15.019592523574829,7615
11,15.021137952804565,3
14,15.022670269012451,2283
15,15.027317523956299,3714
0,15.028318166732788,1283
13,15.02853012084961,1495
3,15.030417442321777,1257
1,16.01479744911194,2063
10,16.015694618225098,1830
2,16.016698837280273,0
6,16.01671814918518,2762
8,16.01686716079712,1
4,16.016562700271606,2760
12,16.016441583633423,1470
5,16.01843285560608,2938
7,16.01899480819702,1518
9,16.02026343345642,8120
14,16.02408480644226,2393
11,16.026315212249756,0
15,16.029442071914673,3868
13,16.03031301498413,1602
3,16.031734943389893,1282
0,16.03439736366272,1308
1,17.01610231399536,2107
10,17.016948223114014,1909
6,17.017205476760864,2953
8,17.017787218093872,0
2,17.01727056503296,0
4,17.017698287963867,2885
12,17.017508268356323,1537
7,17.020419359207153,1603
5,17.019911527633667,3086
9,17.021262884140015,8516
14,17.025208473205566,2442
11,17.02766466140747,0
13,17.03078055381775,1752
3,17.032988786697388,1351
0,17.035159826278687,1381
15,17.03632140159607,4120
1,18.017505168914795,2346
12,18.01802945137024,1689
10,18.017865896224976,2131
8,18.018640518188477,45
6,18.018594980239868,3177
5,18.020718097686768,3293
7,18.02204942703247,1789
9,18.022382259368896,8980
14,18.025946378707886,2644
11,18.02820324897766,2
4,18.018638849258423,3113
13,18.031291961669922,1816
2,18.0184485912323,34
0,18.035367488861084,1608
15,18.03770351409912,4392
3,18.033807277679443,1486
4,19.019081115722656,3253
1,19.019079446792603,2347
10,19.019567728042603,2229
6,19.01991295814514,3294
12,19.019659280776978,1773
8,19.020409107208252,34
2,19.021190881729126,31
5,19.02180027961731,3450
7,19.023216724395752,1798
9,19.023553609848022,9573
14,19.02736210823059,2722
11,19.029337644577026,8
13,19.032267808914185,1899
3,19.03463649749756,1513
0,19.037180423736572,1591
15,19.038760662078857,4649
4,20.020538091659546,3376
12,20.020959854125977,1798
6,20.021508932113647,3484
8,20.021944761276245,1
10,20.023802995681763,2256
5,20.024343252182007,3571
9,20.025318145751953,9960
2,20.027937412261963,0
1,20.027557134628296,2517
7,20.028629779815674,1894
14,20.029117107391357,2811
13,20.03341293334961,1938
3,20.036234855651855,1557
0,20.038692951202393,1744
15,20.039886951446533,4816
11,20.044225215911865,0
12,21.022077560424805,1896
4,21.02191710472107,3473
6,21.022343158721924,3751
8,21.023056268692017,0
10,21.024370670318604,2391
5,21.025641202926636,3699
9,21.025948762893677,10473
1,21.028400182724,2571
2,21.029231309890747,1
7,21.030239820480347,1881
14,21.0306556224823,2948
13,21.033619165420532,2152
3,21.03730821609497,1563
0,21.04030442237854,1716
15,21.04097890853882,5124
11,21.045281648635864,0
6,22.02307415008545,3892
12,22.023680210113525,2019
10,22.02569031715393,2510
9,22.026280403137207,10867
5,22.026916027069092,3927
1,22.029144763946533,2826
8,22.024091005325317,55
4,22.023017168045044,3732
2,22.03006863594055,28
14,22.03174114227295,3147
7,22.032224655151367,2098
13,22.034055709838867,2195
0,22.04120945930481,1942
15,22.041672229766846,5375
11,22.046204090118408,3
3,22.038235902786255,1725
4,23.023286819458008,3837
6,23.023951530456543,4021
8,23.02488875389099,47
12,23.02509570121765,2091
10,23.026638507843018,2625
9,23.027080297470093,11184
5,23.0280499458313,4103
1,23.030909061431885,2981
7,23.032523155212402,2134
2,23.032225131988525,27
14,23.033529043197632,3255
13,23.034867763519287,2257
3,23.039609909057617,1742
15,23.043198347091675,5621
0,23.043290853500366,2029
11,23.04796028137207,2
4,24.02382230758667,4011
6,24.024836540222168,4160
8,24.025622844696045,1
12,24.02672791481018,2170
9,24.0279061794281,11543
5,24.02931547164917,4306
10,24.029844045639038,2693
2,24.032824516296387,0
7,24.033287048339844,2174
1,24.033551692962646,2996
14,24.03522539138794,3332
13,24.03572130203247,2307
3,24.0409734249115,1814
0,24.043683290481567,2048
15,24.044353485107422,5947
11,24.049654722213745,0
4,25.024755239486694,4151
6,25.025513887405396,4341
8,25.027024745941162,0
12,25.028774976730347,2227
10,25.030338048934937,2709
9,25.0315260887146,11990
5,25.030756950378418,4588
2,25.033560514450073,26
7,25.03517746925354,2278
1,25.036147117614746,3192
14,25.03602910041809,3468
13,25.03715229034424,2421
3,25.041686058044434,1887
0,25.0450222492218,2269
15,25.044668674468994,6216
11,25.05091428756714,0
4,26.02613854408264,4367
6,26.02674913406372,4444
12,26.030084133148193,2382
10,26.03101921081543,2940
5,26.03158473968506,4789
9,26.0334210395813,12430
2,26.03494668006897,16
7,26.035687923431396,2387
1,26.03703784942627,3277
13,26.03823447227478,2501
3,26.04275941848755,2038
0,26.04556965827942,2221
15,26.045997381210327,6473
11,26.051851749420166,3
8,26.029009103775024,53
14,26.03748345375061,3819
4,27.027384519577026,4652
6,27.02848720550537,4531
8,27.02944564819336,50
10,27.031839609146118,2968
12,27.031492948532104,2488
5,27.03259253501892,4926
9,27.03453779220581,12704
2,27.03641700744629,22
7,27.03676152229309,2484
1,27.037553548812866,3439
14,27.038731336593628,3954
13,27.03929114341736,2520
3,27.04346752166748,2106
15,27.047868490219116,6679
0,27.04848575592041,2343
11,27.052759408950806,3
4,28.028884172439575,4879
6,28.029038190841675,4719
8,28.030237913131714,0
12,28.032073497772217,2555
5,28.033409357070923,5062
9,28.035042762756348,13270
10,28.037275075912476,3023
2,28.037944316864014,0
7,28.0383563041687,2481
1,28.038768529891968,3487
13,28.040224313735962,2595
14,28.040323972702026,4084
3,28.044185161590576,2126
15,28.049052238464355,6942
0,28.0498788356781,2310
11,28.054422855377197,0
4,29.02925968170166,5010
8,29.030282020568848,0
12,29.032972812652588,2642
9,29.03615164756775,13629
10,29.03833818435669,3027
2,29.038650512695312,26
5,29.039113521575928,5290
7,29.03972291946411,2680
1,29.039907932281494,3731
13,29.04084825515747,2698
14,29.04128074645996,4196
6,29.04306650161743,5127
3,29.04532480239868,2163
0,29.050841808319092,2531
15,29.05368733406067,7253
11,29.075342416763306,0
4,30.029727458953857,5080
8,30.031474590301514,41
12,30.034167528152466,2866
9,30.037248373031616,14163
