blk_size, cross tx latency, intra tx latency, total average tx latency
50,1356.6154669162156, 686.8749017474728, 829.5276615177174
100,574.6434349799705, 290.25994300139956, 350.28598548846844
150,343.1965790362054, 173.2565153179699, 209.82914156640618
200,176.12768485532698, 88.57693677147006, 107.02845983242214
250,120.8954630965614, 60.286834428013776, 73.24058926022289
300,63.69389400370232, 31.023615617979182, 38.107412215033506
350,24.359318329562566, 12.456858571377152, 15.135678502443351 
