shard_num,cross tx latency, intra tx latency, total average tx latency
8,1366.2494548952327, 692.7371350386048, 809.6408287092606
16,574.6434349799705, 290.25994300139956, 350.28598548846844
24,350.5926348576627, 178.15787021546248, 220.26205469854548
32,218.05345781100246, 107.5973908196746, 137.57588333995966
40,130.78121527810308, 66.00884538219886, 83.77929350876069
48,62.00570357849151, 33.25143125532568, 41.010537848358396
56,64.21346245517037, 32.589031994868805, 41.922873930721586
