shardID,t,queueSize
14,0,107
18,-0.00032973289489746094,91
3,0.00044465065002441406,162
19,-0.0003266334533691406,9
9,0.00018095970153808594,196
1,0.0005276203155517578,185
6,0.0005576610565185547,117
5,0.000217437744140625,161
4,0.0009222030639648438,142
16,0.0006406307220458984,108
15,0.0005252361297607422,77
20,0.0007982254028320312,59
23,0.0010890960693359375,62
21,-1.8596649169921875e-05,8
17,0.0006945133209228516,119
0,0.0005733966827392578,160
7,0.00044155120849609375,64
10,0.0007145404815673828,159
12,0.0012292861938476562,127
8,-8.368492126464844e-05,15
2,0.0004291534423828125,133
11,0.0007836818695068359,163
22,0.0013239383697509766,355
13,0.0010118484497070312,221
19,1.000060796737671,0
18,1.0001704692840576,86
14,1.0007057189941406,145
8,1.0005781650543213,0
5,1.0013365745544434,217
9,1.0014455318450928,228
0,1.0015203952789307,200
2,1.0013370513916016,225
6,1.00136399269104,123
1,1.001739501953125,304
3,1.0019943714141846,151
7,1.001810073852539,48
15,1.0013961791992188,65
10,1.0017919540405273,93
21,1.001737356185913,0
20,1.0019798278808594,35
22,1.0022342205047607,673
23,1.002683162689209,42
16,1.0025131702423096,154
11,1.0025393962860107,101
13,1.001920223236084,389
17,1.0019617080688477,176
12,1.0031609535217285,180
4,1.0298070907592773,290
18,2.0003743171691895,153
19,2.001316785812378,2
15,2.001964807510376,166
8,2.0014889240264893,5
1,2.0023882389068604,625
6,2.002096176147461,313
9,2.0022051334381104,448
2,2.001725912094116,332
14,2.002547025680542,245
0,2.003068685531616,330
20,2.0029327869415283,91
7,2.0031254291534424,105
10,2.0027475357055664,251
21,2.0025153160095215,18
5,2.0029032230377197,372
17,2.0034916400909424,287
23,2.0043492317199707,103
12,2.00434947013855,298
13,2.003094434738159,565
16,2.003622531890869,247
3,2.003206253051758,334
22,2.004044532775879,992
11,2.004070281982422,249
4,2.0300514698028564,294
15,3.0021870136260986,249
18,3.002016067504883,135
6,3.0026023387908936,326
2,3.0025644302368164,395
1,3.003469228744507,703
8,3.0025806427001953,10
10,3.0037550926208496,172
9,3.0028111934661865,518
5,3.0041112899780273,496
21,3.003183126449585,10
19,3.0033726692199707,4
11,3.0043537616729736,230
7,3.0036795139312744,83
20,3.003772735595703,44
0,3.0046846866607666,388
13,3.0040462017059326,702
3,3.0043489933013916,302
14,3.0044960975646973,280
23,3.0049095153808594,67
16,3.004605531692505,267
17,3.004884719848633,335
12,3.0048415660858154,342
