shardID,t,queueSize
31,0,35
0,0.00040459632873535156,62
9,0.0005710124969482422,91
29,0.0007021427154541016,77
17,0.0005464553833007812,118
8,0.0003383159637451172,144
36,0.0010237693786621094,223
21,0.0009691715240478516,65
2,0.0006518363952636719,88
1,0.00045800209045410156,93
27,0.0010950565338134766,49
20,0.0009377002716064453,74
35,0.0006732940673828125,7
14,0.0006055831909179688,94
30,0.0009593963623046875,2
19,0.00039649009704589844,96
11,0.00019478797912597656,6
3,0.001352071762084961,94
10,0.0008347034454345703,2
25,0.0008523464202880859,74
15,0.0005333423614501953,113
39,0.0010330677032470703,11
26,0.0009844303131103516,55
6,0.0012166500091552734,107
28,0.0009899139404296875,49
23,0.0008442401885986328,83
18,0.0011684894561767578,117
22,0.0013895034790039062,86
38,0.0008788108825683594,9
34,0.001580953598022461,43
4,0.0016918182373046875,162
33,0.0013561248779296875,143
37,0.0008957386016845703,25
12,0.001096963882446289,72
13,0.0012295246124267578,106
7,0.0029745101928710938,86
16,0.0013298988342285156,80
5,0.0005776882171630859,81
24,0.0010466575622558594,70
32,0.00045228004455566406,8
30,1.0009896755218506,0
31,1.001236915588379,89
28,1.0012822151184082,27
19,1.001490592956543,107
26,1.0012938976287842,5
0,1.0020396709442139,235
15,1.0017709732055664,198
23,1.0019605159759521,103
38,1.0020098686218262,0
25,1.001950740814209,45
35,1.0018227100372314,0
29,1.001451015472412,141
36,1.002138614654541,350
14,1.0021390914916992,184
22,1.0021381378173828,86
20,1.0016705989837646,177
33,1.0023400783538818,253
34,1.002382516860962,9
27,1.00284743309021,17
18,1.0026626586914062,132
37,1.0024726390838623,0
6,1.0027728080749512,134
11,1.0023548603057861,11
24,1.0095953941345215,151
9,1.0739338397979736,182
21,1.0208117961883545,128
39,1.0090115070343018,17
12,1.0614449977874756,124
3,1.0100910663604736,226
5,1.0354640483856201,165
16,1.042902946472168,121
4,1.0382390022277832,354
7,1.03318190574646,193
8,1.0107808113098145,289
32,1.0686390399932861,15
13,1.055706262588501,175
17,1.038940191268921,177
10,1.0221798419952393,5
1,1.0634331703186035,198
2,1.004732608795166,177
19,2.0018815994262695,95
29,2.00173282623291,89
20,2.0021541118621826,150
31,2.002378225326538,33
0,2.002497434616089,363
30,2.0024421215057373,5
26,2.002671003341675,74
33,2.0031449794769287,396
36,2.0037717819213867,529
14,2.0040109157562256,171
25,2.002958297729492,134
23,2.003070592880249,189
15,2.002877950668335,258
18,2.0031418800354004,152
38,2.003117322921753,6
37,2.00409197807312,23
6,2.0039145946502686,144
22,2.003990411758423,162
34,2.003669261932373,59
