shardID,t,queueSize
18,0,3
55,-9.822845458984375e-05,63
40,0.0002930164337158203,38
30,0.00015926361083984375,43
0,0.0002770423889160156,13
2,0.00015473365783691406,69
41,-7.224082946777344e-05,64
48,0.0006353855133056641,41
36,0.0003895759582519531,10
52,0.0006704330444335938,13
7,0.0005486011505126953,21
43,0.0005025863647460938,89
8,0.0008230209350585938,86
12,0.0006237030029296875,40
33,0.0008144378662109375,76
21,0.0008723735809326172,2
24,0.0008111000061035156,3
53,0.0006060600280761719,78
49,0.0004343986511230469,36
27,0.0008280277252197266,65
25,0.001461029052734375,54
4,0.000637054443359375,35
15,0.001155853271484375,112
28,0.0007226467132568359,78
11,0.0006465911865234375,47
38,0.0012378692626953125,76
31,0.0006606578826904297,44
3,0.001222372055053711,40
1,0.0007722377777099609,51
6,0.0004420280456542969,38
13,0.0009491443634033203,53
29,0.0010404586791992188,76
17,0.0019664764404296875,2
23,0.0018239021301269531,1
26,0.0012311935424804688,144
45,0.0005898475646972656,67
46,0.0003705024719238281,145
5,0.0010755062103271484,107
10,0.0008974075317382812,37
32,0.0005435943603515625,84
39,0.0005805492401123047,71
14,0.0017285346984863281,175
19,0.0014085769653320312,1
37,0.0003542900085449219,3
20,0.0008263587951660156,56
9,0.0011823177337646484,50
51,0.0005929470062255859,103
50,0.0007588863372802734,64
44,0.0034132003784179688,48
42,0.000110626220703125,63
47,0.012526988983154297,50
54,-0.000331878662109375,69
34,0.04475069046020508,91
35,0.030389070510864258,12
30,1.0003671646118164,0
22,1.0008113384246826,3
18,1.001013994216919,0
13,1.0013420581817627,21
2,1.0013654232025146,59
55,1.0002591609954834,124
50,1.0019872188568115,159
32,1.0018062591552734,89
8,1.0017304420471191,116
6,1.0011060237884521,0
9,1.00205659866333,0
3,1.0014567375183105,0
16,1.0015838146209717,1
21,1.001631259918213,0
4,1.0018668174743652,0
23,1.0026097297668457,0
40,1.0016834735870361,90
1,1.0016889572143555,16
27,1.00199556350708,54
37,1.002016544342041,0
48,1.001209020614624,105
5,1.002410888671875,126
0,1.0019044876098633,0
7,1.0022649765014648,0
26,1.0024197101593018,230
43,1.0012693405151367,100
20,1.0022170543670654,20
11,1.0024452209472656,26
10,1.0021798610687256,0
28,1.0019810199737549,34
14,1.0026259422302246,206
39,1.0025627613067627,111
29,1.0026917457580566,31
15,1.0031867027282715,137
33,1.0020034313201904,109
49,1.00166916847229,85
12,1.0024652481079102,0
36,1.0016086101531982,22
38,1.0022335052490234,130
24,1.002424716949463,0
17,1.0031771659851074,0
31,1.0024354457855225,0
25,1.002861499786377,22
19,1.003246784210205,0
35,1.0532658100128174,30
41,1.0603163242340088,114
44,1.0458948612213135,105
54,1.0659706592559814,139
45,1.0054752826690674,143
42,1.024932861328125,112
34,1.0925672054290771,102
46,1.0452797412872314,290
51,1.001451015472412,216
52,1.0245180130004883,107
47,1.0128750801086426,101
53,1.0489327907562256,155
30,2.0011658668518066,55
6,2.001844644546509,37
18,2.0020694732666016,0
2,2.0017614364624023,108
48,2.0022354125976562,60
3,2.0020971298217773,30
36,2.0017993450164795,0
16,2.002234697341919,0
1,2.0021064281463623,60
22,2.0023114681243896,0
8,2.0022835731506348,198
43,2.0025205612182617,202
40,2.0025479793548584,61
4,2.0025222301483154,45
10,2.002514600753784,29
9,2.0025644302368164,53
33,2.003065586090088,76
13,2.001643419265747,50
21,2.002610683441162,1
