shardID,t,queueSize
8,0,80
29,0.0004992485046386719,51
13,-0.00019431114196777344,44
1,-0.00023698806762695312,51
26,5.698204040527344e-05,82
37,0.00037932395935058594,3
4,-0.0001289844512939453,3
35,0.00021600723266601562,38
0,0.0003097057342529297,34
3,0.0008270740509033203,10
15,0.0001628398895263672,6
32,0.000652313232421875,17
30,0.0006287097930908203,35
16,9.34600830078125e-05,146
21,0.0005350112915039062,107
38,0.000560760498046875,1
40,0.0007407665252685547,96
24,0.0003638267517089844,51
6,0.0004863739013671875,54
11,-0.00012040138244628906,94
12,0.0009984970092773438,68
18,-2.3365020751953125e-05,73
47,0.0008344650268554688,198
46,0.0012774467468261719,136
34,0.0012936592102050781,72
22,5.1021575927734375e-05,92
25,0.000621795654296875,34
7,0.0009913444519042969,63
20,0.000919342041015625,90
14,0.0004711151123046875,72
45,0.0012269020080566406,63
42,0.0003447532653808594,94
39,0.0006632804870605469,162
31,0.0007700920104980469,59
2,0.0005917549133300781,147
10,0.0006592273712158203,84
17,0.00030803680419921875,36
41,0.00015473365783691406,3
33,0.0007216930389404297,57
36,0.0006482601165771484,1
28,0.0006539821624755859,61
23,0.0011677742004394531,81
27,0.0008885860443115234,53
5,0.00049591064453125,11
9,0.0011754035949707031,128
19,0.0009241104125976562,59
22,1.0007479190826416,58
11,1.00048828125,17
31,1.0009613037109375,126
13,1.0011060237884521,0
26,1.0011160373687744,85
16,1.0009543895721436,190
30,1.0014851093292236,63
4,1.0008533000946045,0
1,1.0009033679962158,13
18,1.0011711120605469,52
32,1.0013360977172852,0
5,1.000922441482544,0
3,1.0020215511322021,0
29,1.0012331008911133,114
15,1.0012409687042236,0
8,1.0013718605041504,0
25,1.0017681121826172,0
6,1.0015835762023926,0
2,1.0018234252929688,233
7,1.0015194416046143,0
0,1.0012097358703613,0
10,1.0017149448394775,28
28,1.0016608238220215,127
21,1.0025384426116943,107
12,1.0025157928466797,65
23,1.0024266242980957,126
9,1.002122402191162,108
17,1.0016262531280518,0
24,1.0015981197357178,0
19,1.0019190311431885,36
14,1.0024678707122803,29
27,1.0023987293243408,9
34,1.001760721206665,145
20,1.002594232559204,6
33,1.0020062923431396,120
36,1.0039587020874023,2
45,1.0271830558776855,150
41,1.0609276294708252,5
40,1.023972988128662,209
42,1.0304462909698486,207
37,1.05267333984375,9
38,1.0107474327087402,2
35,1.0487751960754395,81
39,1.0027263164520264,327
47,1.035447359085083,444
46,1.0395278930664062,291
11,2.0016062259674072,112
13,2.0020899772644043,49
16,2.002105236053467,336
1,2.001814126968384,72
4,2.001910924911499,5
18,2.0016536712646484,93
30,2.0020480155944824,58
0,2.0023725032806396,49
22,2.0017898082733154,149
32,2.0020973682403564,22
25,2.0028860569000244,33
24,2.002153158187866,39
31,2.0022451877593994,61
7,2.0027313232421875,108
29,2.0019125938415527,45
2,2.0019922256469727,347
23,2.0034937858581543,343
14,2.002845048904419,85
10,2.002580404281616,108
34,2.0032007694244385,93
9,2.0027260780334473,243
15,2.002422332763672,15
8,2.003277063369751,74
19,2.0029523372650146,73
26,2.002537488937378,164
33,2.0030035972595215,68
39,2.0036749839782715,345
28,2.0030760765075684,76
12,2.002988815307617,114
6,2.003343105316162,68
17,2.002397060394287,32
36,2.0048460960388184,3
37,2.0096652507781982,3
20,2.003796100616455,108
38,2.011707305908203,0
27,2.00373911857605,83
21,2.0040998458862305,223
5,2.001725435256958,4
3,2.002957582473755,10
40,2.02528977394104,188
42,2.0317468643188477,207
45,2.0288245677948,124
46,2.040593147277832,349
35,2.049363851547241,38
47,2.036731243133545,503
41,2.0625429153442383,0
2,3.002254009246826,398
29,3.002387285232544,0
22,3.0022201538085938,88
11,3.002458333969116,40
0,3.00296688079834,58
13,3.0035009384155273,39
9,3.0037004947662354,277
4,3.002946615219116,4
18,3.0026605129241943,64
33,3.0036463737487793,23
28,3.003410577774048,49
1,3.0030994415283203,47
5,3.0028910636901855,9
10,3.003157377243042,66
31,3.003552198410034,15
32,3.0037739276885986,24
16,3.003326892852783,450
23,3.0042316913604736,387
8,3.003979206085205,0
25,3.004437208175659,54
24,3.003659963607788,47
26,3.0042123794555664,157
3,3.003709316253662,13
12,3.0034027099609375,82
7,3.0041723251342773,32
34,3.0044736862182617,55
21,3.0045814514160156,215
20,3.0044057369232178,20
30,3.0044727325439453,82
14,3.004286050796509,65
6,3.004605770111084,44
17,3.004364252090454,42
19,3.0046043395996094,55
15,3.0042829513549805,11
27,3.0051257610321045,65
38,3.026413917541504,0
39,3.0272843837738037,507
36,3.0410449504852295,4
46,3.0516185760498047,521
41,3.0659472942352295,0
40,3.0471620559692383,269
42,3.0326087474823,309
47,3.045926809310913,760
37,3.090048313140869,4
45,3.038142442703247,192
35,3.175821304321289,0
11,4.003188610076904,28
2,4.003514051437378,435
0,4.003931283950806,19
29,4.003498077392578,21
18,4.003963232040405,25
22,4.0036585330963135,68
7,4.00427508354187,0
28,4.004287958145142,108
23,4.004725217819214,351
16,4.004528760910034,645
9,4.004643201828003,302
17,4.0050129890441895,0
32,4.004475831985474,0
3,4.004737138748169,0
31,4.004953622817993,71
13,4.004513263702393,9
12,4.004921913146973,49
4,4.004521608352661,0
8,4.005029916763306,0
26,4.004812479019165,120
5,4.004485368728638,0
25,4.005164861679077,0
27,4.005401849746704,2
33,4.004944324493408,61
15,4.00501275062561,19
1,4.004854202270508,7
30,4.005188226699829,275
34,4.005380630493164,91
20,4.005351543426514,2
10,4.0049920082092285,34
14,4.0058393478393555,20
19,4.0063157081604,9
6,4.007884502410889,0
24,4.012444019317627,0
21,4.0185558795928955,225
39,4.027340650558472,493
38,4.027870416641235,0
42,4.0346291065216064,299
45,4.039470434188843,175
36,4.04254150390625,0
40,4.048257350921631,221
46,4.052717447280884,496
47,4.055456876754761,924
41,4.067061901092529,0
37,4.091693878173828,2
35,4.182783842086792,36
29,5.00407862663269,66
22,5.004431962966919,16
11,5.004827499389648,0
13,5.005207300186157,0
16,5.005396366119385,751
5,5.005172967910767,0
7,5.004962682723999,1
2,5.004653692245483,481
33,5.005916118621826,56
9,5.0055084228515625,286
8,5.005829334259033,0
0,5.005975961685181,0
32,5.005842685699463,28
17,5.006039142608643,0
4,5.005516290664673,0
18,5.005853176116943,1
28,5.0060505867004395,75
23,5.005990266799927,294
31,5.006242990493774,57
10,5.006064414978027,0
27,5.006178617477417,0
3,5.006075382232666,1
25,5.006412744522095,0
26,5.005728483200073,103
15,5.006011247634888,0
34,5.0061750411987305,62
1,5.006470680236816,1
30,5.00670599937439,240
20,5.006747245788574,0
14,5.007078170776367,0
19,5.007449150085449,0
12,5.007329702377319,0
6,5.009221076965332,0
24,5.013808727264404,0
21,5.020066976547241,217
39,5.030950307846069,662
38,5.029572248458862,4
42,5.045500040054321,310
