shardID,t,queueSize
26,0,12
17,3.552436828613281e-05,56
20,-0.00028133392333984375,86
22,-0.0001361370086669922,89
0,-0.0003609657287597656,110
8,1.1205673217773438e-05,10
16,4.458427429199219e-05,84
25,-0.0003190040588378906,12
18,-1.0967254638671875e-05,76
28,0.0005068778991699219,1
7,0.0004153251647949219,132
11,0.0003390312194824219,71
2,0.0007371902465820312,147
13,0.0007541179656982422,131
10,0.00031638145446777344,74
1,0.0004837512969970703,137
4,0.0007574558258056641,96
19,0.0003209114074707031,72
12,0.0008680820465087891,107
9,0.0002789497375488281,10
21,0.0008127689361572266,86
29,0.0006034374237060547,42
3,0.00045490264892578125,56
27,0.0010540485382080078,263
6,0.0008933544158935547,122
14,0.0007863044738769531,140
24,0.0008759498596191406,1
15,0.0008461475372314453,123
23,0.0003173351287841797,70
5,0.0010592937469482422,186
31,0.0012943744659423828,294
30,0.004667043685913086,104
20,0.9998254776000977,128
17,1.000727891921997,2
16,1.0003890991210938,71
22,1.0010619163513184,72
25,1.0006170272827148,0
19,1.001063585281372,64
0,1.0008485317230225,120
26,1.0012876987457275,0
3,1.0014002323150635,36
8,1.0013203620910645,0
23,1.0013432502746582,67
18,1.0010645389556885,86
4,1.0014901161193848,118
12,1.0015826225280762,29
2,1.0015709400177002,193
14,1.0016350746154785,81
29,1.0021612644195557,0
7,1.0016708374023438,115
11,1.0018658638000488,33
1,1.0016212463378906,95
15,1.0015292167663574,93
10,1.0020081996917725,62
9,1.0015804767608643,0
5,1.0021021366119385,321
28,1.0019712448120117,0
13,1.002131700515747,97
27,1.002206802368164,431
6,1.0021412372589111,194
31,1.0025227069854736,544
21,1.00213623046875,83
24,1.0021336078643799,0
30,1.0057344436645508,170
19,2.0014986991882324,115
20,2.0017476081848145,251
16,2.0012216567993164,161
25,2.0014991760253906,9
15,2.0019540786743164,236
22,2.0021328926086426,162
23,2.001539468765259,146
14,2.0019760131835938,211
12,2.0026798248291016,124
17,2.0020980834960938,77
0,2.0021584033966064,213
4,2.002478837966919,186
8,2.0021374225616455,31
27,2.0028202533721924,635
18,2.0022695064544678,158
10,2.0029823780059814,149
6,2.003281831741333,404
28,2.0027010440826416,6
7,2.0029547214508057,241
5,2.0029380321502686,471
29,2.003601551055908,42
24,2.003419876098633,1
26,2.001521348953247,12
31,2.0031254291534424,815
13,2.003587484359741,243
11,2.0030465126037598,123
3,2.002988815307617,76
30,2.0067481994628906,282
9,2.001725435256958,3
2,2.0027897357940674,339
1,2.0017294883728027,230
21,2.0042059421539307,153
19,3.0018022060394287,90
9,3.002182722091675,4
22,3.0034022331237793,167
1,3.0023443698883057,177
16,3.0026938915252686,142
25,3.002812147140503,9
27,3.003337860107422,737
0,3.00282621383667,221
15,3.0028700828552246,256
26,3.0029096603393555,10
18,3.0035996437072754,161
4,3.0036184787750244,181
12,3.003823757171631,32
2,3.0036203861236572,455
14,3.0037388801574707,169
10,3.003582000732422,136
20,3.003891706466675,334
24,3.0039610862731934,2
8,3.0030601024627686,14
17,3.003511428833008,133
11,3.0042240619659424,81
23,3.003443717956543,140
5,3.0038857460021973,559
7,3.0038704872131348,229
3,3.0040111541748047,63
28,3.004462957382202,5
29,3.004865884780884,44
6,3.004420042037964,419
31,3.0049266815185547,1147
13,3.0045948028564453,206
21,3.00533390045166,137
30,3.0078868865966797,298
9,4.0027594566345215,0
1,4.002579212188721,209
19,4.00366735458374,53
0,4.0036842823028564,215
26,4.004338979721069,1
20,4.00437593460083,298
25,4.003160238265991,0
27,4.004629850387573,751
15,4.003929376602173,261
14,4.004455327987671,188
24,4.004385948181152,0
7,4.005255222320557,238
16,4.0042314529418945,128
28,4.005283832550049,0
5,4.005214691162109,629
23,4.0048487186431885,107
10,4.004501581192017,111
2,4.005142450332642,650
6,4.005292892456055,440
8,4.004674673080444,0
11,4.005331993103027,49
12,4.005217790603638,23
29,4.006350755691528,1
3,4.005340099334717,36
4,4.0060648918151855,173
13,4.006287336349487,232
31,4.005999326705933,1379
30,4.0092833042144775,312
22,4.010183095932007,125
21,4.012378692626953,112
18,4.013758182525635,122
17,4.018441915512085,248
9,5.004709720611572,0
1,5.003665208816528,157
25,5.004265308380127,0
0,5.004807233810425,204
8,5.005030393600464,0
19,5.004884958267212,39
24,5.005352973937988,0
26,5.005230188369751,0
16,5.005749702453613,123
5,5.005738019943237,719
27,5.0060460567474365,1007
10,5.005458116531372,67
2,5.005310535430908,755
14,5.0057806968688965,180
12,5.006283283233643,0
20,5.005769729614258,298
28,5.005821228027344,0
7,5.006664991378784,210
23,5.006107330322266,72
31,5.006918430328369,1785
11,5.006531715393066,10
15,5.005902290344238,278
13,5.006839990615845,211
4,5.007330417633057,138
6,5.006961107254028,439
29,5.007700204849243,0
3,5.006781101226807,2
30,5.009931325912476,329
22,5.012338638305664,102
21,5.012833833694458,112
18,5.015345096588135,198
17,5.018868923187256,240
1,6.004754543304443,330
25,6.005638360977173,6
9,6.006083011627197,4
0,6.005799293518066,306
5,6.006985425949097,918
28,6.006696701049805,2
20,6.006534099578857,404
16,6.006171703338623,209
10,6.006541013717651,151
8,6.005488395690918,9
